Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Boyd County, NE",31015.0,59.84,40.33,90.42,"Boyd County, NE",42.8802,-98.6249
,"Brown County, NE",31017.0,59.54,40.47,88.52,"Brown County, NE",42.4671,-99.9296
,"Buffalo County, NE",31019.0,62.74,42.28,90.13,"Buffalo County, NE",40.8486,-99.074
,"Burt County, NE",31021.0,60.07,40.93,91.22,"Burt County, NE",41.8649,-96.3464
,"Butler County, NE",31023.0,60.94,41.75,90.77,"Butler County, NE",41.2578,-97.1385
,"Cass County, NE",31025.0,61.62,42.56,91.66,"Cass County, NE",40.9287,-96.1512
,"Cedar County, NE",31027.0,59.03,40.13,90.4,"Cedar County, NE",42.609,-97.2505
,"Chase County, NE",31029.0,64.26,42.34,88.39,"Chase County, NE",40.5299,-101.698
,"Cherry County, NE",31031.0,59.38,40.17,87.33,"Cherry County, NE",42.5459,-101.125
,"Cheyenne County, NE",31033.0,61.92,40.76,86.17,"Cheyenne County, NE",41.2207,-102.9933
,"Clay County, NE",31035.0,62.77,43.53,90.76,"Clay County, NE",40.5251,-98.0513
,"Colfax County, NE",31037.0,60.42,40.67,90.8,"Colfax County, NE",41.5601,-97.0793
,"Cuming County, NE",31039.0,59.72,41.01,90.7,"Cuming County, NE",41.9158,-96.7875
,"Custer County, NE",31041.0,61.2,41.1,89,"Custer County, NE",41.3952,-99.7319
,"Dakota County, NE",31043.0,59.11,39.87,90.83,"Dakota County, NE",42.4022,-96.5708
,"Dawes County, NE",31045.0,60.37,40.42,86.58,"Dawes County, NE",42.7214,-103.1269
,"Dawson County, NE",31047.0,62.74,41.96,89.62,"Dawson County, NE",40.8658,-99.8251
,"Deuel County, NE",31049.0,62.8,41.24,87.34,"Deuel County, NE",41.1098,-102.3332
,"Dixon County, NE",31051.0,59.0,40.63,90.46,"Dixon County, NE",42.5131,-96.8689
